full_name;stars;age_years;releases_count;primary_language;forks_count;open_issues_count;created_at;updated_at
Snailclimb/JavaGuide;154388;7.87;0;Java;46133;70;2018-05-07T13:27:00Z;2026-03-23T00:27:39Z
krahets/hello-algo;123667;3.38;10;Java;14927;29;2022-11-04T11:08:34Z;2026-03-23T00:24:40Z
GrowingGit/GitHub-Chinese-Top-Charts;107036;6.54;0;Java;13531;193;2019-09-05T03:01:56Z;2026-03-23T00:25:13Z
iluwatar/java-design-patterns;93829;11.62;0;Java;27368;217;2014-08-09T16:45:18Z;2026-03-22T23:17:54Z
macrozheng/mall;83213;7.96;3;Java;29676;14;2018-04-04T01:11:44Z;2026-03-22T15:56:27Z
spring-projects/spring-boot;80323;13.42;342;Java;41868;475;2012-10-19T15:02:57Z;2026-03-22T20:42:45Z
doocs/advanced-java;78901;7.46;1;Java;19265;2;2018-10-06T11:38:30Z;2026-03-22T15:54:41Z
MisterBooo/LeetCodeAnimation;76703;7.29;0;Java;13977;21;2018-12-06T08:01:22Z;2026-03-22T17:46:31Z
elastic/elasticsearch;76402;16.11;238;Java;25824;5610;2010-02-08T13:20:56Z;2026-03-22T23:09:10Z
NationalSecurityAgency/ghidra;66033;7.06;52;Java;7273;1859;2019-03-01T03:27:48Z;2026-03-23T00:23:23Z
TheAlgorithms/Java;65257;9.68;0;Java;21039;57;2016-07-16T10:21:02Z;2026-03-23T00:11:58Z
kdn251/interviews;64962;9.1;0;Java;12923;118;2017-02-14T18:19:25Z;2026-03-22T20:54:00Z
spring-projects/spring-framework;59786;15.29;359;Java;38909;359;2010-12-08T04:04:45Z;2026-03-23T00:02:01Z
termux/termux-app;52331;10.41;95;Java;6251;504;2015-10-23T09:42:46Z;2026-03-23T00:01:17Z
google/guava;51501;11.81;57;Java;11147;721;2014-05-29T16:23:17Z;2026-03-23T00:01:44Z
dbeaver/dbeaver;49232;10.42;244;Java;4089;3242;2015-10-21T08:26:28Z;2026-03-22T23:57:21Z
